Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2025-10-03,0.8,23.900000000000027,78.0,26.1,30.282485247457224
2025-10-04,10.1,34.00000000000003,78.0,27.2,36.25524908815942
2025-10-05,0.0,31.000000000000025,92.0,25.2,46.22151054176675
2025-10-06,15.8,31.400000000000027,82.0,26.9,42.26608308869318
2025-10-07,0.8,32.200000000000024,80.0,26.6,35.258005960323814
2025-10-08,17.5,49.70000000000002,78.0,27.1,43.04488416988417
2025-10-09,0.0,44.20000000000002,83.0,26.9,45.45018236811672
2025-10-10,0.0,44.20000000000002,85.0,27.1,49.00573792367227
2025-10-11,0.0,34.10000000000002,69.0,29.4,32.176789050287844
2025-10-12,7.8,41.90000000000002,93.0,25.0,53.41666800106752
2025-10-13,13.9,40.00000000000003,81.0,27.0,44.23328173650031
2025-10-14,0.0,39.20000000000002,84.0,27.1,45.50413664264745
2025-10-15,1.2,22.900000000000023,83.0,27.1,37.958916466506544
2025-10-16,0.4,23.300000000000026,86.0,26.8,41.4657112356552
2025-10-17,55.6,78.90000000000003,82.0,27.5,64.26816023166025
2025-10-18,0.0,78.90000000000003,74.0,28.3,48.76340626340627
2025-10-19,18.9,90.00000000000003,84.0,27.0,64.98141428458933
2025-10-20,0.2,76.30000000000003,86.0,26.9,60.586220506220506
2025-10-21,0.9,77.20000000000002,83.0,27.3,57.76690690690692
2025-10-22,0.0,76.00000000000001,81.0,27.6,54.92358429858431
2025-10-23,0.0,75.60000000000002,73.0,28.2,47.02702702702703
2025-10-24,0.0,20.00000000000003,77.0,27.8,27.90132105684548
2025-10-25,0.2,20.200000000000028,71.0,28.6,26.652654949356315
2025-10-26,0.0,1.3000000000000285,66.0,29.0,11.241876015498082
2025-10-27,0.0,1.1000000000000285,71.0,29.5,14.457411573553326
2025-10-28,0.0,0.2000000000000284,64.0,29.9,10.554305711786046
2025-10-29,0.0,0.2000000000000284,69.0,27.8,9.621766029246372
2025-10-30,0.0,0.2000000000000284,63.0,29.5,9.463035870516208
2025-10-31,0.0,0.2000000000000284,67.0,29.2,11.189226346706684
2025-11-01,0.0,0.0,69.0,30.0,13.214285714285715
2025-11-02,30.5,30.50000000000003,82.0,28.3,47.54357263588648
2025-11-03,8.6,39.10000000000003,76.0,27.7,37.179223664646
2025-11-04,11.7,50.800000000000026,78.0,28.1,45.646309523809535
2025-11-05,0.0,50.800000000000026,73.0,28.6,39.6031746031746
2025-11-06,0.0,50.800000000000026,71.0,28.9,38.948412698412696
2025-11-07,0.0,50.800000000000026,68.0,28.1,36.05654761904762
2025-11-08,0.0,50.800000000000026,69.0,27.9,35.967261904761905
2025-11-09,0.0,20.300000000000026,68.0,28.3,24.588877451167285
2025-11-10,0.8,11.700000000000026,70.0,28.7,23.50782541071256
2025-11-11,0.0,0.0,68.0,28.8,11.011904761904765
2025-11-12,1.4,1.4000000000000283,71.0,28.2,13.448076490438716
2025-11-13,0.0,1.4000000000000283,76.0,27.7,14.004147919010148
2025-11-14,7.2,8.600000000000028,79.0,27.3,25.037209098862657
2025-11-15,0.6,9.20000000000003,82.0,26.7,27.03965004374454
2025-11-16,9.7,18.900000000000027,92.0,25.7,44.42096877502002
2025-11-17,0.0,18.900000000000027,89.0,25.8,40.00263544168669
2025-11-18,3.0,21.900000000000027,75.0,28.2,30.04050097220634
2025-11-19,0.5,21.00000000000003,76.0,27.8,27.96592702733616
2025-11-20,4.6,25.60000000000003,77.0,27.9,32.29561449159328
2025-11-21,36.8,55.20000000000002,82.0,27.6,55.41117760617762
2025-11-22,1.4,56.00000000000002,80.0,27.4,46.548577863577854
2025-11-23,0.8,47.10000000000003,74.0,28.6,39.2684126984127
2025-11-24,0.0,47.10000000000003,78.0,28.0,41.25
2025-11-25,1.5,45.60000000000003,81.0,27.1,44.16618628235922
2025-11-26,0.5,45.60000000000003,82.0,26.7,44.15507517124811
2025-11-27,3.3,44.300000000000026,86.0,25.8,49.61576994929276
2025-11-28,0.8,7.500000000000028,82.0,25.8,27.024642752989227
2025-11-29,1.0,7.100000000000028,75.0,27.5,17.73162260967381
2025-11-30,0.3,6.600000000000028,79.0,27.1,20.733517060367475
2025-12-01,0.0,6.600000000000028,77.0,28.9,21.169072615923024
2025-12-02,14.8,19.900000000000027,86.0,26.4,42.33462236455832
2025-12-03,24.7,44.10000000000003,84.0,26.6,50.546817009162886
2025-12-04,23.9,64.70000000000003,93.0,24.9,63.094472329472325
2025-12-05,0.8,64.70000000000003,85.0,26.5,60.18089518089518
2025-12-06,40.4,104.10000000000002,88.0,25.0,69.6119347980156
2025-12-07,0.2,104.00000000000004,91.0,24.9,65.4376954878337
2025-12-08,15.3,119.30000000000004,97.0,24.1,72.71797661233168
2025-12-09,26.2,130.70000000000002,87.0,25.8,69.80459130640207
2025-12-10,49.6,155.60000000000002,91.0,25.4,75.78184620836286
2025-12-11,0.1,131.80000000000004,88.0,26.1,66.16455705173637
2025-12-12,2.3,134.10000000000002,85.0,26.4,64.68039451925348
2025-12-13,105.8,199.50000000000003,84.0,26.6,76.48401448932988
2025-12-14,24.4,223.70000000000005,91.0,25.3,77.20048310890621
2025-12-15,36.8,245.2,91.0,24.8,79.29360146468225
2025-12-16,18.1,237.1,98.0,23.5,80.17355067328135
2025-12-17,56.8,244.3,88.0,25.7,79.70744767304512
2025-12-18,3.6,247.8,87.0,26.2,73.87382352941177
2025-12-19,0.4,245.90000000000003,84.0,26.8,69.93994330262225
2025-12-20,2.2,142.3,80.0,27.7,60.77051795416962
2025-12-21,15.5,133.4,87.0,26.7,69.88294157020238
2025-12-22,20.0,116.60000000000004,88.0,26.0,69.14351523742027
2025-12-23,2.5,101.00000000000004,83.0,27.2,61.83329396015434
2025-12-24,0.0,44.20000000000003,82.0,27.4,45.33907125700561
